Date,Close,% Change,% Change vs Average,Volume,,,
2025-02-11T12:00:00.000Z,"98,065.09",-0.1,-0.1,"689,678,336",,,
2025-02-11T12:05:00.000Z,"98,045.01",-0.02,-0.02,0,,,
2025-02-11T12:10:00.000Z,"97,859.22",-0.19,-0.19,0,,,
2025-02-11T12:15:00.000Z,"97,820.36",-0.04,-0.04,"173,264,896",,,
2025-02-11T12:20:00.000Z,"97,893.36",0.07,0.08,"568,264,704",,,
2025-02-11T12:25:00.000Z,"97,760.87",-0.14,-0.13,0,,,
2025-02-11T12:30:00.000Z,"97,774.32",0.01,0.01,"1,074,356,224",,,
2025-02-11T12:35:00.000Z,"97,774.55",0,0,"580,911,104",,,
2025-02-11T12:40:00.000Z,"97,751.48",-0.02,-0.02,0,,,
2025-02-11T12:45:00.000Z,"97,845.06",0.1,0.1,"14,968,832",,,
2025-02-11T12:50:00.000Z,"97,843.73",0,0,0,,,
2025-02-11T12:55:00.000Z,"97,827.50",-0.02,-0.02,0,,,
2025-02-11T13:00:00.000Z,"97,827.79",0,0,0,,,
2025-02-11T13:05:00.000Z,"97,854.33",0.03,0.03,0,,,
2025-02-11T13:10:00.000Z,"97,823.95",-0.03,-0.03,0,,,
2025-02-11T13:15:00.000Z,"97,825.95",0,0,"726,171,648",,,
2025-02-11T13:20:00.000Z,"97,630.51",-0.2,-0.2,0,,,
2025-02-11T13:25:00.000Z,"97,564.35",-0.07,-0.07,"110,907,392",,,
2025-02-11T13:30:00.000Z,"97,522.48",-0.04,-0.04,"124,715,008",,,
2025-02-11T13:35:00.000Z,"97,521.45",0,0,"777,834,496",,,
2025-02-11T13:40:00.000Z,"97,410.82",-0.11,-0.11,0,,,
2025-02-11T13:45:00.000Z,"97,177.35",-0.24,-0.24,0,,,
2025-02-11T13:50:00.000Z,"97,065.85",-0.11,-0.11,"32,264,192",,,
2025-02-11T13:55:00.000Z,"96,896.23",-0.17,-0.17,0,,,
2025-02-11T14:00:00.000Z,"96,801.47",-0.1,-0.1,"857,499,648",,,
2025-02-11T14:05:00.000Z,"97,069.32",0.28,0.28,0,,,
2025-02-11T14:10:00.000Z,"96,921.62",-0.15,-0.15,"304,912,384",,,
2025-02-11T14:15:00.000Z,"96,929.65",0.01,0.01,"71,759,872",,,
2025-02-11T14:20:00.000Z,"96,896.21",-0.03,-0.03,0,,,
2025-02-11T14:25:00.000Z,"96,982.05",0.09,0.09,"749,248,512",,,
2025-02-11T14:30:00.000Z,"96,818.62",-0.17,-0.17,0,,,
2025-02-11T14:35:00.000Z,"96,998.45",0.19,0.19,"1,697,236,992",,,
2025-02-11T14:40:00.000Z,"97,134.27",0.14,0.14,0,,,
2025-02-11T14:45:00.000Z,"97,103.04",-0.03,-0.03,0,,,
2025-02-11T14:50:00.000Z,"97,123.24",0.02,0.02,"600,330,240",,,
2025-02-11T14:55:00.000Z,"96,998.94",-0.13,-0.13,0,,,
2025-02-11T15:00:00.000Z,"97,232.39",0.24,0.24,0,,,
2025-02-11T15:05:00.000Z,"96,784.06",-0.46,-0.46,"581,500,928",,,
2025-02-11T15:10:00.000Z,"96,935.26",0.16,0.16,0,,,
2025-02-11T15:15:00.000Z,"97,164.99",0.24,0.24,"112,844,800",,,
2025-02-11T15:20:00.000Z,"97,031.77",-0.14,-0.14,0,,,
2025-02-11T15:25:00.000Z,"96,973.54",-0.06,-0.06,"1,113,104,384",,,
2025-02-11T15:30:00.000Z,"97,008.36",0.04,0.04,"582,727,680",,,
2025-02-11T15:35:00.000Z,"96,951.97",-0.06,-0.06,0,,,
2025-02-11T15:40:00.000Z,"96,873.52",-0.08,-0.08,0,,,
2025-02-11T15:45:00.000Z,"97,013.08",0.14,0.15,0,,,
2025-02-11T15:50:00.000Z,"97,037.16",0.02,0.03,"80,435,200",,,
2025-02-11T15:55:00.000Z,"97,030.47",-0.01,-0.01,0,,,
2025-02-11T16:00:00.000Z,"96,962.83",-0.07,-0.07,"528,891,904",,,
2025-02-11T16:05:00.000Z,"96,844.20",-0.12,-0.12,0,,,
2025-02-11T16:10:00.000Z,"97,017.79",0.18,0.18,"579,364,864",,,
2025-02-11T16:15:00.000Z,"96,979.19",-0.04,-0.04,0,,,
2025-02-11T16:20:00.000Z,"96,974.16",-0.01,0,0,,,
2025-02-11T16:25:00.000Z,"96,676.77",-0.31,-0.31,0,,,
2025-02-11T16:30:00.000Z,"96,544.59",-0.14,-0.14,0,,,
2025-02-11T16:35:00.000Z,"96,488.73",-0.06,-0.06,0,,,
2025-02-11T16:40:00.000Z,"96,514.70",0.03,0.03,"246,802,432",,,
2025-02-11T16:45:00.000Z,"96,434.29",-0.08,-0.08,"1,601,181,696",,,
2025-02-11T16:50:00.000Z,"96,384.46",-0.05,-0.05,0,,,
2025-02-11T16:55:00.000Z,"96,344.03",-0.04,-0.04,"189,265,920",,,
2025-02-11T17:00:00.000Z,"96,233.48",-0.11,-0.11,0,,,
2025-02-11T17:05:00.000Z,"96,148.18",-0.09,-0.09,"98,201,600",,,
2025-02-11T17:10:00.000Z,"96,102.13",-0.05,-0.05,"99,840,000",,,
2025-02-11T17:15:00.000Z,"96,295.27",0.2,0.2,0,,,
2025-02-11T17:20:00.000Z,"96,334.73",0.04,0.04,"182,259,712",,,
2025-02-11T17:25:00.000Z,"96,200.38",-0.14,-0.14,0,,,
2025-02-11T17:30:00.000Z,"96,228.84",0.03,0.03,"67,627,008",,,
2025-02-11T17:35:00.000Z,"96,243.06",0.01,0.02,"641,875,968",,,
2025-02-11T17:40:00.000Z,"96,129.65",-0.12,-0.12,"9,744,384",,,
2025-02-11T17:45:00.000Z,"96,108.17",-0.02,-0.02,"177,035,264",,,
2025-02-11T17:50:00.000Z,"96,017.95",-0.09,-0.09,0,,,
2025-02-11T17:55:00.000Z,"96,099.77",0.09,0.09,"110,886,912",,,
2025-02-11T18:00:00.000Z,"96,019.59",-0.08,-0.08,0,,,
2025-02-11T18:05:00.000Z,"95,864.08",-0.16,-0.16,0,,,
2025-02-11T18:10:00.000Z,"95,906.98",0.04,0.05,"318,658,560",,,
2025-02-11T18:15:00.000Z,"95,866.93",-0.04,-0.04,0,,,
2025-02-11T18:20:00.000Z,"95,668.87",-0.21,-0.21,"262,766,592",,,
2025-02-11T18:25:00.000Z,"95,650.03",-0.02,-0.02,"296,910,848",,,
2025-02-11T18:30:00.000Z,"95,772.06",0.13,0.13,0,,,
2025-02-11T18:35:00.000Z,"95,986.98",0.22,0.23,"153,571,328",,,
2025-02-11T18:40:00.000Z,"95,748.45",-0.25,-0.25,"797,456,384",,,
2025-02-11T18:45:00.000Z,"95,554.21",-0.2,-0.2,0,,,
2025-02-11T18:50:00.000Z,"95,586.91",0.03,0.04,"42,264,576",,,
2025-02-11T18:55:00.000Z,"95,507.02",-0.08,-0.08,"151,552",,,
2025-02-11T19:00:00.000Z,"95,537.34",0.03,0.03,"114,210,816",,,
2025-02-11T19:05:00.000Z,"95,618.32",0.08,0.09,0,,,
2025-02-11T19:10:00.000Z,"95,424.85",-0.2,-0.2,"784,668,672",,,
2025-02-11T19:15:00.000Z,"95,186.80",-0.25,-0.25,"92,332,032",,,
2025-02-11T19:20:00.000Z,"95,153.92",-0.03,-0.03,0,,,
2025-02-11T19:25:00.000Z,"95,012.85",-0.15,-0.15,"8,304,640",,,
2025-02-11T19:30:00.000Z,"94,996.01",-0.02,-0.02,"435,140,608",,,
2025-02-11T19:35:00.000Z,"94,910.44",-0.09,-0.09,0,,,
