Date,Close,% Change,% Change vs Average,Volume
2025-02-10T22:50:00.000Z,"97,332.92",-0.12,-0.12,0
2025-02-10T22:55:00.000Z,"97,375.26",0.04,0.04,0
2025-02-10T23:00:00.000Z,"97,369.72",-0.01,0,0
2025-02-10T23:05:00.000Z,"97,309.21",-0.06,-0.06,0
2025-02-10T23:10:00.000Z,"97,319.63",0.01,0.01,"57,528,320"
2025-02-10T23:15:00.000Z,"97,401.42",0.08,0.09,0
2025-02-10T23:20:00.000Z,"97,417.02",0.02,0.02,"737,280"
2025-02-10T23:25:00.000Z,"97,321.68",-0.1,-0.1,0
2025-02-10T23:30:00.000Z,"97,326.28",0,0.01,"135,016,448"
2025-02-10T23:35:00.000Z,"97,329.05",0,0,"1,133,580,288"
2025-02-10T23:40:00.000Z,"97,338.16",0.01,0.01,0
2025-02-10T23:45:00.000Z,"97,365.28",0.03,0.03,0
2025-02-10T23:50:00.000Z,"97,395.66",0.03,0.03,0
2025-02-10T23:55:00.000Z,"97,434.18",0.04,0.04,"621,293,568"
